pop1,pop2,pop3,pop4,pop5,pop6,lan1,lan2,inc1,inc2,inc3,inc4,own1,own2,own3,own4,lab1,lab2,lab3,fsa
28688,10978,10710,20.912.0,67.0,36.3,0.889495946422277,0.09569968276348255,55826,17995,55759,120683,71.5,11.4,10.5,0.8460458586803931,75.7,6.1,0.2091917591125198,T8H
26423,10797,10057,20.011.6,68.4,35.1,0.9181487856186651,0.07324536240198891,52285,16640,52377,117035,68.5,9.6,6.1,0.7629853756933939,73.3,7.1,0.239351403678606,T8L
65527,24439,23947,18.615.3,66.1,40.7,0.8960185543100117,0.09114804793196753,52577,40950,51126,119918,60.3,11.6,6.6,0.8452853857411666,72.2,6.6,0.245879647374473,T8N
15088,5488,5233,22.99.9,67.3,35.1,0.946914399469144,0.04445919044459191,47370,9145,47923,110045,72.7,12.5,2.9,0.8627049180327869,73.5,7.9,0.2334056399132321,T8R
8007,3377,3007,22.210.1,67.7,33.9,0.8381979695431472,0.14276649746192893,47104,4970,46173,104672,65.8,12.6,18.8,0.6615646258503401,76.3,8.2,0.1919451585261354,T8S
7037,2500,2335,18.614.3,67.0,43.6,0.8835370237239396,0.10567936736161035,53677,4345,48491,149547,53.2,11.1,0.0,0.9390519187358917,72.0,6.6,0.22918531781557744,T8T
31893,14508,12865,18.410.2,71.4,33.3,0.8591370558375635,0.12087563451776649,42024,20510,43186,86386,71.8,14.7,13.0,0.5396270396270396,76.0,11.3,0.2066905615292712,T8V
21466,7796,7338,24.24.5,71.3,31.7,0.9213535589264877,0.06651108518086347,58504,13865,55317,135439,78.0,11.0,3.1,0.8239778239778239,79.6,7.2,0.15476923076923077,T8W
19287,7214,6645,25.55.3,69.2,31.4,0.9087373606429868,0.08089188488462536,56080,12060,54905,129015,80.3,13.4,1.7,0.8258212375859435,81.0,8.7,0.1612108412530799,T8X
15660,6736,6236,18.519.5,62.1,42.0,0.864109232769831,0.12028608582574772,35056,8855,36623,70968,59.6,17.7,12.8,0.675206611570248,66.2,8.9,0.30716309186564145,T9A
6831,3219,2866,16.921.2,61.9,44.4,0.8442622950819673,0.13636363636363635,37547,3910,36747,72661,54.1,15.5,19.3,0.7116788321167883,66.4,8.0,0.31103074141048825,T9C
31710,13006,11968,21.212.3,66.4,35.3,0.9002390438247012,0.08557768924302789,46213,19655,46266,101754,71.4,14.9,13.4,0.7448805460750854,73.7,9.2,0.234225035736165,T9E
7159,2757,2634,20.813.1,66.1,38.3,0.9363191042687193,0.05738278516445067,45223,4375,44172,100636,68.2,14.2,9.4,0.7756286266924565,73.2,9.9,0.23036187113857018,T9G
26732,12129,10054,16.63.8,79.6,34.8,0.7520134856714741,0.23056752200786665,67294,18755,72021,170667,79.6,10.6,5.8,0.5989821882951654,77.2,7.2,0.19466425503052226,T9H
3630,1780,1382,17.62.8,79.6,34.3,0.8429752066115702,0.13360881542699724,75200,2555,80576,180429,0,0,0,,0,0,,T9J
39305,15844,13541,22.11.8,76.1,32.1,0.7947837150127226,0.18918575063613233,89712,26080,98258,216260,90.4,8.1,11.2,0.741506646971935,78.8,6.3,0.18256041802743306,T9K
18253,7892,6716,23.16.7,70.2,31.7,0.9098405717427158,0.07861462341946124,52434,11355,51772,110208,75.7,11.8,17.6,0.7113884555382215,78.9,9.1,0.19752186588921283,T9M
9082,3775,3369,21.112.0,66.9,36.3,0.9005555555555556,0.08055555555555556,48503,5675,46336,109776,66.0,13.6,9.9,0.8183206106870229,73.9,11.9,0.20518207282913165,T9N
6898,3385,2704,18.617.5,64.0,42.8,0.9060205580029369,0.08002936857562408,40491,4190,36134,88704,58.7,11.6,14.2,0.7842003853564548,70.9,8.5,0.2531194295900178,T9S
20959,8919,7893,21.910.3,67.8,35.3,0.8965267727930536,0.08634828750602991,48080,12955,44939,103373,69.1,13.7,12.6,0.7485567671584349,75.5,10.6,0.21009975062344138,T9V
8062,3391,3137,19.314.1,66.6,37.8,0.9137055837563451,0.07487309644670051,44403,5040,41963,88619,67.6,10.1,17.1,0.7400662251655629,75.1,6.1,0.21316872427983538,T9W
5841,2724,2412,18.017.7,64.4,39.9,0.9196891191709845,0.06735751295336788,41287,3755,36122,78848,57.0,15.8,12.4,0.7754629629629629,72.0,7.6,0.24288840262582057,T9X
